"","id","name","screen_name","Potential_Climate_Denial"
"861",665701298818428928,"Dennis Ross","RepDennisRoss","0"
"862",671424967662260224,"Jan Schakowsky","janschakowsky","0"
"863",677218515686961152,"Congressman Ami Bera","RepBera","0"
"864",664293284492083200,"Brian Schatz","brianschatz","0"
"865",672434072212361216,"Marsha Blackburn","MarshaBlackburn","0"
"866",674288295552098304,"Senator Gary Peters","SenGaryPeters","0"
"867",638762529175568384,"Sen Dianne Feinstein","SenFeinstein","0"
"868",677235607836483584,"Rep. Eric Swalwell","RepSwalwell","0"
"869",664832563018645504,"Chellie Pingree","chelliepingree","0"
"870",671404955081814016,"Sandy Levin","repsandylevin","0"
"871",671762030194479104,"Paul Tonko","RepPaulTonko","0"
"872",671793195735478272,"Niki Tsongas","nikiinthehouse","0"
"873",633737667188908032,"Sen Dianne Feinstein","SenFeinstein","0"
"874",646386324598063104,"Lloyd Doggett","RepLloydDoggett","0"
"875",633024222730829824,"Dana Rohrabacher","DanaRohrabacher","0"
"876",651497192285339648,"Rep. Scott Peters","RepScottPeters","0"
"877",662815978376585216,"Jim Himes","jahimes","0"
"878",675884358755028992,"John Conyers, Jr.","RepJohnConyers","0"
"879",676887615434579968,"Rep. Ed Perlmutter","RepPerlmutter","0"
"880",633722304971821056,"Chris Van Hollen","ChrisVanHollen","0"
"881",636561103690928128,"ChuckGrassley","ChuckGrassley","0"
"882",671721690913751040,"Rep. Jeff Duncan","RepJeffDuncan","0"
"883",672116771420282880,"Rep. John Delaney","RepJohnDelaney","0"
"884",676057011566571520,"RepKevinBrady","RepKevinBrady","0"
"885",677220900870217728,"Ruben Gallego","RepRubenGallego","0"
"886",646031511620333568,"Charlie Baker","MassGovernor","0"
"887",673876132165525504,"Tom Udall","SenatorTomUdall","0"
"888",673918540169244672,"Senator Ted Cruz","SenTedCruz","0"
"889",638200523959566336,"Jason Chaffetz","jasoninthehouse","0"
"890",649632068335439872,"Mike Enzi","SenatorEnzi","0"
"891",659804667107479552,"Niki Tsongas","nikiinthehouse","0"
"892",630857981828145152,"Rep. Pete Aguilar","RepPeteAguilar","0"
"893",671761117451067392,"Kevin McCarthy","GOPLeader","0"
"894",672142890760564736,"Steve Pearce","RepStevePearce","0"
"895",674699882565910528,"Raul M. Grijalva","RepRaulGrijalva","0"
"896",647131309953929216,"Sen Dianne Feinstein","SenFeinstein","0"
"897",664371955605245952,"Chellie Pingree","chelliepingree","0"
"898",687104942264467456,"Paul Tonko","RepPaulTonko","0"
"899",708378461136658432,"Governor Kate Brown","OregonGovBrown","0"
"900",714831496851365888,"Bernie Sanders","SenSanders","0"
"901",687100822241558528,"John Garamendi","RepGaramendi","0"
"902",714982126567862272,"Brian Schatz","brianschatz","0"
"903",687100174863187968,"Rep. Doug Lamborn","RepDLamborn","0"
"904",697207157469659136,"Bernie Sanders","SenSanders","0"
"905",704338010318508032,"Rep. Peter Welch","PeterWelch","0"
"906",678703955572985856,"Denny Heck","RepDennyHeck","0"
"907",705494827018932224,"Senator Ben Cardin","SenatorCardin","0"
"908",697204120315367424,"Pete Sessions","PeteSessions","0"
"909",685493027650039808,"Sen Dianne Feinstein","SenFeinstein","0"
"910",717096957290946560,"Rep. Doris Matsui","DorisMatsui","0"
"911",717371247592660992,"Paul Tonko","RepPaulTonko","0"
"912",691059596387946496,"Brian Schatz","brianschatz","0"
"913",698327006044430336,"Bernie Sanders","SenSanders","0"
